student_ID,date,daily_study_time,daily_submissions,avg_score
011d454f199c123d44ad,2023-11-25,3.05,9,0.556
011d454f199c123d44ad,2023-11-27,128.55,28,0.464
011d454f199c123d44ad,2023-12-02,23.98,11,1.0
011d454f199c123d44ad,2023-12-06,34.18,11,0.818
011d454f199c123d44ad,2023-12-09,40.2,26,0.115
011d454f199c123d44ad,2023-12-13,84.35,24,1.208
011d454f199c123d44ad,2023-12-16,93.18,37,0.811
011d454f199c123d44ad,2023-12-18,1.6,3,0.0
011d454f199c123d44ad,2023-12-22,0.42,2,1.5
01558eef77a8d39b7103,2023-09-05,16.12,4,0.25
01558eef77a8d39b7103,2023-09-06,8.57,4,0.0
01558eef77a8d39b7103,2023-09-17,16.05,7,0.286
01558eef77a8d39b7103,2023-10-03,19.48,6,0.167
01558eef77a8d39b7103,2023-10-06,0.33,4,1.25
01558eef77a8d39b7103,2023-10-08,13.92,6,0.667
01558eef77a8d39b7103,2023-10-09,0.57,2,0.5
01558eef77a8d39b7103,2023-10-10,16.2,3,1.0
01558eef77a8d39b7103,2023-10-11,5.4,2,1.0
01558eef77a8d39b7103,2023-10-14,15.33,13,1.385
01558eef77a8d39b7103,2023-10-16,0.0,1,0.0
01558eef77a8d39b7103,2023-10-18,0.0,2,3.0
01558eef77a8d39b7103,2023-10-26,5.12,3,0.0
01558eef77a8d39b7103,2023-10-27,0.0,2,1.5
01558eef77a8d39b7103,2023-10-29,0.0,1,3.0
01558eef77a8d39b7103,2023-10-30,18.57,4,1.25
01558eef77a8d39b7103,2023-11-06,0.0,1,3.0
01558eef77a8d39b7103,2023-11-08,87.38,17,0.176
01558eef77a8d39b7103,2023-11-11,31.37,15,0.867
01558eef77a8d39b7103,2023-11-13,1.65,2,1.5
01558eef77a8d39b7103,2023-11-15,40.15,10,0.4
01558eef77a8d39b7103,2023-11-19,59.15,5,1.8
01558eef77a8d39b7103,2023-11-21,0.0,1,3.0
01558eef77a8d39b7103,2023-11-22,0.0,2,3.0
01558eef77a8d39b7103,2023-11-28,6.43,3,1.667
01558eef77a8d39b7103,2023-12-03,50.72,11,1.182
01558eef77a8d39b7103,2023-12-09,42.25,4,2.25
01558eef77a8d39b7103,2023-12-18,0.0,1,0.0
01558eef77a8d39b7103,2023-12-26,17.12,3,1.667
01558eef77a8d39b7103,2024-01-01,16.18,4,1.5
01558eef77a8d39b7103,2024-01-05,1.1,2,3.5
016226278e6a69e10aa4,2023-09-13,88.82,28,0.036
016226278e6a69e10aa4,2023-09-14,30.62,7,0.143
016226278e6a69e10aa4,2023-09-15,21.48,14,0.071
016226278e6a69e10aa4,2023-09-16,0.48,3,0.333
016226278e6a69e10aa4,2023-09-25,2.43,8,0.25
016226278e6a69e10aa4,2023-09-29,35.03,13,0.308
016226278e6a69e10aa4,2023-09-30,89.9,21,0.095
016226278e6a69e10aa4,2023-10-02,135.43,28,0.25
016226278e6a69e10aa4,2023-10-06,0.0,1,0.0
016226278e6a69e10aa4,2023-10-07,22.12,15,0.467
016226278e6a69e10aa4,2023-10-11,23.48,6,0.5
016226278e6a69e10aa4,2023-10-14,0.0,3,3.0
016226278e6a69e10aa4,2023-10-16,0.0,1,3.0
016226278e6a69e10aa4,2023-10-17,0.0,1,3.0
016226278e6a69e10aa4,2023-10-18,0.0,1,2.0
016226278e6a69e10aa4,2023-10-21,0.0,1,0.0
016226278e6a69e10aa4,2023-10-31,9.83,4,0.75
016226278e6a69e10aa4,2023-11-03,54.23,16,0.25
016226278e6a69e10aa4,2023-11-04,7.42,5,0.0
016226278e6a69e10aa4,2023-11-08,0.95,3,3.0
016226278e6a69e10aa4,2023-11-10,7.62,4,1.25
016226278e6a69e10aa4,2023-11-12,0.0,1,3.0
016226278e6a69e10aa4,2023-11-14,0.0,1,3.0
016226278e6a69e10aa4,2023-11-15,9.08,3,1.0
016226278e6a69e10aa4,2023-11-20,5.02,6,1.0
016226278e6a69e10aa4,2023-11-24,0.0,1,0.0
016226278e6a69e10aa4,2023-11-25,15.75,14,0.786
016226278e6a69e10aa4,2023-11-27,6.37,4,1.5
016226278e6a69e10aa4,2023-11-28,81.92,10,0.7
016226278e6a69e10aa4,2023-11-30,70.52,10,1.0
016226278e6a69e10aa4,2023-12-02,8.53,9,1.222
016226278e6a69e10aa4,2023-12-04,39.22,10,1.0
016226278e6a69e10aa4,2023-12-05,0.0,1,4.0
01a691413dc5897db83f,2023-10-09,120.28,89,0.135
01a691413dc5897db83f,2023-10-10,103.6,44,0.705
01a691413dc5897db83f,2023-10-14,52.22,20,0.25
01a691413dc5897db83f,2023-10-20,23.03,21,0.286
01a691413dc5897db83f,2023-10-21,72.68,42,0.262
01a691413dc5897db83f,2023-10-22,91.98,28,0.679
01a691413dc5897db83f,2023-10-28,3.25,3,0.333
01a691413dc5897db83f,2023-10-30,43.33,15,0.2
01a691413dc5897db83f,2023-11-01,38.03,21,0.0
01a691413dc5897db83f,2023-11-02,81.78,53,0.472
01a691413dc5897db83f,2023-11-03,48.63,43,0.372
01a691413dc5897db83f,2023-11-04,427.27,137,0.759
01a691413dc5897db83f,2023-11-05,11.72,6,0.0
01a691413dc5897db83f,2023-11-06,0.0,1,1.0
01a691413dc5897db83f,2023-11-07,0.0,1,0.0
01a691413dc5897db83f,2023-11-12,27.82,11,0.273
01a691413dc5897db83f,2023-12-23,2.73,6,1.667
01a691413dc5897db83f,2024-01-07,0.45,2,3.5
01d8aa21ef476b66c573,2023-10-03,119.57,15,0.333
01d8aa21ef476b66c573,2023-10-06,30.03,7,0.143
01d8aa21ef476b66c573,2023-10-17,0.0,2,2.0
01d8aa21ef476b66c573,2023-10-18,0.0,2,1.5
01d8aa21ef476b66c573,2023-10-19,57.8,23,0.739
01d8aa21ef476b66c573,2023-11-05,53.27,8,2.5
01d8aa21ef476b66c573,2023-11-06,20.0,9,0.556
01d8aa21ef476b66c573,2023-11-08,11.15,2,1.5
01d8aa21ef476b66c573,2023-11-14,14.93,9,1.0
01d8aa21ef476b66c573,2023-11-17,109.08,37,0.27
01d8aa21ef476b66c573,2023-11-18,170.2,37,1.27
01d8aa21ef476b66c573,2023-11-19,71.75,11,1.818
01d8aa21ef476b66c573,2023-12-19,25.22,17,1.412
01d8aa21ef476b66c573,2023-12-20,6.67,3,2.0
01qkq6w2v62cimidb3b7,2023-09-08,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-09-09,0.0,2,1.0
01qkq6w2v62cimidb3b7,2023-09-13,19.82,3,0.0
01qkq6w2v62cimidb3b7,2023-09-14,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-09-15,0.0,3,0.0
01qkq6w2v62cimidb3b7,2023-09-16,0.0,1,2.0
01qkq6w2v62cimidb3b7,2023-09-17,0.0,1,1.0
01qkq6w2v62cimidb3b7,2023-09-18,26.05,5,0.0
01qkq6w2v62cimidb3b7,2023-09-20,21.13,2,0.0
01qkq6w2v62cimidb3b7,2023-09-22,6.57,4,0.0
01qkq6w2v62cimidb3b7,2023-09-24,0.0,1,1.0
01qkq6w2v62cimidb3b7,2023-09-25,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-09-27,0.0,1,1.0
01qkq6w2v62cimidb3b7,2023-09-29,0.0,3,0.333
01qkq6w2v62cimidb3b7,2023-09-30,1.5,2,0.0
01qkq6w2v62cimidb3b7,2023-10-02,6.33,2,0.0
01qkq6w2v62cimidb3b7,2023-10-03,0.0,1,2.0
01qkq6w2v62cimidb3b7,2023-10-04,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-10-05,15.3,4,0.5
01qkq6w2v62cimidb3b7,2023-10-06,0.0,1,1.0
01qkq6w2v62cimidb3b7,2023-10-07,0.0,1,1.0
01qkq6w2v62cimidb3b7,2023-10-11,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-10-12,0.0,2,1.0
01qkq6w2v62cimidb3b7,2023-10-13,0.0,5,0.6
01qkq6w2v62cimidb3b7,2023-10-15,0.0,1,2.0
01qkq6w2v62cimidb3b7,2023-10-18,0.0,2,0.5
01qkq6w2v62cimidb3b7,2023-10-19,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-10-20,26.97,4,1.25
01qkq6w2v62cimidb3b7,2023-10-21,4.67,2,0.0
01qkq6w2v62cimidb3b7,2023-10-22,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-10-23,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-10-24,21.47,2,1.5
01qkq6w2v62cimidb3b7,2023-10-25,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-10-27,4.33,2,2.5
01qkq6w2v62cimidb3b7,2023-10-28,0.0,2,0.0
01qkq6w2v62cimidb3b7,2023-10-30,0.0,1,2.0
01qkq6w2v62cimidb3b7,2023-11-01,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-11-05,0.0,2,1.0
01qkq6w2v62cimidb3b7,2023-11-08,0.0,3,0.333
01qkq6w2v62cimidb3b7,2023-11-09,0.0,2,2.0
01qkq6w2v62cimidb3b7,2023-11-10,0.0,2,1.5
01qkq6w2v62cimidb3b7,2023-11-11,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-11-13,20.8,3,1.0
01qkq6w2v62cimidb3b7,2023-11-14,0.0,3,0.0
01qkq6w2v62cimidb3b7,2023-11-15,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-11-17,0.0,1,0.0
01qkq6w2v62cimidb3b7,2023-11-19,0.0,2,3.0
01qkq6w2v62cimidb3b7,2023-11-21,0.0,2,0.0
01qkq6w2v62cimidb3b7,2023-11-22,0.0,3,0.333
01qkq6w2v62cimidb3b7,2023-11-23,0.0,2,1.5
01qkq6w2v62cimidb3b7,2023-11-24,14.8,5,1.4
01qkq6w2v62cimidb3b7,2023-11-25,0.0,2,3.0
01qkq6w2v62cimidb3b7,2023-11-26,0.0,3,1.667
01qkq6w2v62cimidb3b7,2023-11-27,37.47,3,1.333
01qkq6w2v62cimidb3b7,2023-11-28,0.0,1,3.0
01qkq6w2v62cimidb3b7,2023-11-30,0.0,1,3.0
01qkq6w2v62cimidb3b7,2023-12-01,0.0,1,3.0
01qkq6w2v62cimidb3b7,2023-12-02,0.0,3,0.0
01qkq6w2v62cimidb3b7,2023-12-04,0.0,1,3.0
01qkq6w2v62cimidb3b7,2023-12-06,0.0,2,0.0
01qkq6w2v62cimidb3b7,2023-12-07,0.0,2,1.0
01qkq6w2v62cimidb3b7,2023-12-08,0.0,2,1.5
01qkq6w2v62cimidb3b7,2023-12-10,0.0,1,3.0
01qkq6w2v62cimidb3b7,2023-12-11,0.0,1,2.0
01qkq6w2v62cimidb3b7,2023-12-12,0.0,1,3.0
01qkq6w2v62cimidb3b7,2023-12-14,0.0,1,0.0
02068067a434adb6556a,2023-09-18,0.82,4,0.0
0258f681a9e1756dfc76,2023-09-18,201.07,128,0.062
0258f681a9e1756dfc76,2023-09-20,32.57,15,0.667
0258f681a9e1756dfc76,2023-09-21,32.92,33,0.303
0258f681a9e1756dfc76,2023-09-22,36.65,28,1.036
0258f681a9e1756dfc76,2023-09-23,1.02,5,0.6
0258f681a9e1756dfc76,2023-09-24,19.92,11,0.273
0258f681a9e1756dfc76,2023-09-26,42.28,31,0.323
0258f681a9e1756dfc76,2023-09-27,45.17,15,0.667
0258f681a9e1756dfc76,2023-10-02,0.0,2,1.0
0258f681a9e1756dfc76,2023-10-11,23.98,20,0.15
0258f681a9e1756dfc76,2023-10-12,34.85,4,1.5
0258f681a9e1756dfc76,2023-10-13,0.0,1,3.0
0258f681a9e1756dfc76,2023-10-16,110.83,26,1.077
0258f681a9e1756dfc76,2023-10-20,40.33,7,0.429
0258f681a9e1756dfc76,2023-10-21,23.6,12,1.5
0258f681a9e1756dfc76,2023-10-22,0.97,2,0.0
0258f681a9e1756dfc76,2023-10-23,1.28,3,1.0
0258f681a9e1756dfc76,2023-10-24,23.88,6,0.5
0258f681a9e1756dfc76,2023-10-25,0.0,1,0.0
0258f681a9e1756dfc76,2023-10-26,0.0,1,0.0
0258f681a9e1756dfc76,2023-10-27,0.0,1,3.0
0258f681a9e1756dfc76,2023-10-28,15.92,15,0.333
0258f681a9e1756dfc76,2023-11-06,18.72,5,0.8
0258f681a9e1756dfc76,2023-11-07,24.18,23,0.174
0258f681a9e1756dfc76,2023-11-08,2.38,2,0.5
0258f681a9e1756dfc76,2023-11-09,6.2,8,0.375
0258f681a9e1756dfc76,2023-11-12,59.03,17,0.118
0258f681a9e1756dfc76,2023-11-13,39.95,16,0.375
0258f681a9e1756dfc76,2023-11-17,0.0,1,0.0
0258f681a9e1756dfc76,2023-11-19,43.92,22,0.0
0258f681a9e1756dfc76,2023-11-20,14.83,9,0.667
0258f681a9e1756dfc76,2023-11-22,9.82,7,0.571
0258f681a9e1756dfc76,2023-11-25,2.25,4,0.75
0258f681a9e1756dfc76,2023-11-26,0.0,1,3.0
0258f681a9e1756dfc76,2023-12-10,6.48,6,2.0
0258f681a9e1756dfc76,2023-12-16,0.0,1,3.0
03754dce5ec7731fb3e2,2023-09-16,118.65,47,1.064
03754dce5ec7731fb3e2,2023-09-17,114.07,22,1.955
03754dce5ec7731fb3e2,2023-09-18,3.43,3,1.333
03754dce5ec7731fb3e2,2023-09-20,3.38,2,2.5
03754dce5ec7731fb3e2,2023-09-27,2.27,2,1.0
03754dce5ec7731fb3e2,2023-10-05,160.8,45,1.511
03754dce5ec7731fb3e2,2023-10-06,74.93,18,1.222
03754dce5ec7731fb3e2,2023-10-09,2.2,4,1.5
03754dce5ec7731fb3e2,2023-10-12,56.08,24,1.917
03754dce5ec7731fb3e2,2023-10-15,2.78,5,2.8
03754dce5ec7731fb3e2,2023-10-18,12.6,3,2.0
03754dce5ec7731fb3e2,2023-10-22,7.23,8,1.375
03754dce5ec7731fb3e2,2023-10-23,0.42,2,2.0
03754dce5ec7731fb3e2,2023-11-03,51.78,10,1.6
03754dce5ec7731fb3e2,2023-11-08,1.52,2,2.5
03754dce5ec7731fb3e2,2023-11-10,4.67,3,2.333
03754dce5ec7731fb3e2,2023-11-18,30.9,7,2.0
03754dce5ec7731fb3e2,2023-11-21,1.92,3,1.667
03754dce5ec7731fb3e2,2023-11-23,0.0,1,0.0
03754dce5ec7731fb3e2,2023-11-24,0.62,2,4.0
03754dce5ec7731fb3e2,2023-11-27,1.65,2,2.5
03754dce5ec7731fb3e2,2023-11-29,6.0,4,2.75
03754dce5ec7731fb3e2,2023-11-30,7.78,6,1.0
03754dce5ec7731fb3e2,2023-12-02,0.0,1,3.0
03754dce5ec7731fb3e2,2023-12-11,1.12,2,1.5
03754dce5ec7731fb3e2,2023-12-15,0.68,2,1.5
03754dce5ec7731fb3e2,2023-12-17,11.43,10,1.1
03754dce5ec7731fb3e2,2023-12-25,9.3,6,1.667
037a76bc8e6bf5fe1fc0,2024-01-01,232.33,31,2.419
037a76bc8e6bf5fe1fc0,2024-01-03,86.77,10,2.5
03aa0b20dd4af1888eef,2023-10-12,9.17,11,0.182
03aa0b20dd4af1888eef,2023-10-14,49.18,22,0.0
03aa0b20dd4af1888eef,2023-10-16,69.78,24,0.125
03aa0b20dd4af1888eef,2023-10-17,28.52,8,0.125
03aa0b20dd4af1888eef,2023-10-18,27.88,7,0.143
03aa0b20dd4af1888eef,2023-10-19,14.67,5,1.6
03aa0b20dd4af1888eef,2023-10-20,14.02,3,1.333
03aa0b20dd4af1888eef,2023-10-27,0.0,1,0.0
03aa0b20dd4af1888eef,2023-11-01,16.83,6,0.833
03aa0b20dd4af1888eef,2023-11-03,54.9,9,1.0
03aa0b20dd4af1888eef,2023-11-08,0.0,1,3.0
03aa0b20dd4af1888eef,2023-11-09,28.52,12,0.5
03aa0b20dd4af1888eef,2023-11-11,0.0,1,0.0
03aa0b20dd4af1888eef,2023-11-12,0.7,2,1.5
03aa0b20dd4af1888eef,2023-11-14,22.87,3,3.0
03aa0b20dd4af1888eef,2023-11-15,28.72,3,2.0
03aa0b20dd4af1888eef,2023-11-16,0.0,2,1.0
03aa0b20dd4af1888eef,2023-11-17,62.33,15,1.4
03aa0b20dd4af1888eef,2023-11-18,15.58,7,1.286
03aa0b20dd4af1888eef,2023-11-24,30.33,8,1.5
03aa0b20dd4af1888eef,2023-11-25,45.2,17,0.765
03aa0b20dd4af1888eef,2023-11-27,17.4,5,1.0
03aa0b20dd4af1888eef,2023-11-28,1.8,2,1.5
03aa0b20dd4af1888eef,2023-11-30,0.0,1,1.0
03aa0b20dd4af1888eef,2023-12-01,3.52,2,3.0
03aa0b20dd4af1888eef,2023-12-02,0.0,1,3.0
03aa0b20dd4af1888eef,2023-12-03,67.4,10,0.3
03aa0b20dd4af1888eef,2023-12-04,73.98,13,1.385
03aa0b20dd4af1888eef,2023-12-05,0.0,1,0.0
03aa0b20dd4af1888eef,2023-12-07,153.0,21,0.762
03aa0b20dd4af1888eef,2023-12-08,38.77,5,0.6
03aa0b20dd4af1888eef,2023-12-11,0.0,1,3.0
03aa0b20dd4af1888eef,2023-12-12,64.32,12,1.0
03aa0b20dd4af1888eef,2023-12-14,0.0,1,0.0
03aa0b20dd4af1888eef,2023-12-19,0.0,1,0.0
03aa0b20dd4af1888eef,2023-12-20,7.42,9,1.889
03aa0b20dd4af1888eef,2023-12-31,0.0,1,1.0
03b463f52c0fff35433b,2023-10-17,24.12,3,0.667
03b463f52c0fff35433b,2023-10-18,65.83,11,0.909
03b463f52c0fff35433b,2023-10-19,2.45,3,1.333
03b463f52c0fff35433b,2023-11-09,15.38,8,0.875
03b463f52c0fff35433b,2023-11-16,6.63,5,1.4
03b463f52c0fff35433b,2023-11-17,60.12,7,1.286
03b463f52c0fff35433b,2023-11-20,0.23,2,2.5
03b463f52c0fff35433b,2023-11-21,10.5,3,2.0
03b463f52c0fff35433b,2023-11-24,5.22,6,1.167
03b463f52c0fff35433b,2023-12-03,2.27,11,3.091
03b463f52c0fff35433b,2023-12-08,53.28,6,2.167
03b463f52c0fff35433b,2023-12-09,0.5,4,1.5
03b463f52c0fff35433b,2023-12-14,1.35,3,3.0
03e0c9bff3a9557480d9,2023-09-16,2.6,6,0.167
03e0c9bff3a9557480d9,2023-09-17,67.82,36,0.111
03e0c9bff3a9557480d9,2023-09-30,0.0,1,0.0
03e0c9bff3a9557480d9,2023-10-10,6.35,4,1.0
03e0c9bff3a9557480d9,2023-10-11,10.4,3,0.0
03e0c9bff3a9557480d9,2023-10-12,17.12,8,1.125
03e0c9bff3a9557480d9,2023-10-13,35.63,4,1.5
03e0c9bff3a9557480d9,2023-11-24,123.67,11,1.727
03e0c9bff3a9557480d9,2023-11-29,71.48,12,1.667
03e0c9bff3a9557480d9,2023-12-01,12.68,2,3.0
03e0c9bff3a9557480d9,2023-12-12,5.17,5,1.2
03e0c9bff3a9557480d9,2023-12-13,0.0,1,0.0
03e0c9bff3a9557480d9,2023-12-14,56.25,8,1.75
03e0c9bff3a9557480d9,2023-12-19,29.48,5,1.4
03e0c9bff3a9557480d9,2023-12-27,23.62,9,1.0
03e0c9bff3a9557480d9,2023-12-29,68.68,15,1.733
04f2689b4ea16d8d7d9a,2023-09-11,0.17,2,0.0
04f2689b4ea16d8d7d9a,2023-09-15,19.93,5,0.2
04f2689b4ea16d8d7d9a,2023-09-20,29.17,22,0.0
04f2689b4ea16d8d7d9a,2023-09-26,53.22,14,0.214
04f2689b4ea16d8d7d9a,2023-09-29,207.63,114,0.14
04f2689b4ea16d8d7d9a,2023-10-02,0.0,1,0.0
04f2689b4ea16d8d7d9a,2023-10-03,75.87,28,0.5
04f2689b4ea16d8d7d9a,2023-10-06,29.37,11,0.636
04f2689b4ea16d8d7d9a,2023-10-12,0.0,1,0.0
04f2689b4ea16d8d7d9a,2023-10-13,119.32,59,0.78
04f2689b4ea16d8d7d9a,2023-10-17,13.48,9,2.0
04f2689b4ea16d8d7d9a,2023-10-18,14.23,11,0.909
04f2689b4ea16d8d7d9a,2023-10-20,0.0,1,1.0
04f2689b4ea16d8d7d9a,2023-10-21,75.67,36,0.306
04f2689b4ea16d8d7d9a,2023-10-24,43.37,5,0.6
04f2689b4ea16d8d7d9a,2023-10-26,13.55,3,2.0
04f2689b4ea16d8d7d9a,2023-10-27,4.68,5,0.0
04f2689b4ea16d8d7d9a,2023-10-30,0.0,2,1.5
04f2689b4ea16d8d7d9a,2023-11-01,39.82,30,1.3
04f2689b4ea16d8d7d9a,2023-11-02,32.22,12,0.5
04f2689b4ea16d8d7d9a,2023-11-03,1.27,6,2.0
04f2689b4ea16d8d7d9a,2023-11-07,15.93,15,0.2
04f2689b4ea16d8d7d9a,2023-11-08,13.07,7,1.714
04f2689b4ea16d8d7d9a,2023-11-12,30.27,14,0.357
04f2689b4ea16d8d7d9a,2023-11-14,59.22,25,0.64
04f2689b4ea16d8d7d9a,2023-11-15,0.0,2,1.5
04f2689b4ea16d8d7d9a,2023-11-16,0.33,3,2.0
04f2689b4ea16d8d7d9a,2023-11-17,20.12,11,1.182
04f2689b4ea16d8d7d9a,2023-11-18,33.42,16,0.25
04f2689b4ea16d8d7d9a,2023-11-19,90.93,26,0.231
04f2689b4ea16d8d7d9a,2023-11-20,3.52,4,0.25
04f2689b4ea16d8d7d9a,2023-11-21,67.28,7,1.0
04f2689b4ea16d8d7d9a,2023-11-22,8.55,9,1.333
04f2689b4ea16d8d7d9a,2023-11-23,40.28,11,1.091
04f2689b4ea16d8d7d9a,2023-11-24,105.75,38,0.158
04f2689b4ea16d8d7d9a,2023-11-27,68.1,25,1.4
04f2689b4ea16d8d7d9a,2023-11-28,0.0,2,0.0
04f2689b4ea16d8d7d9a,2023-12-03,11.72,15,0.533
0557b1363a5092b5811f,2023-10-06,81.4,29,0.207
0557b1363a5092b5811f,2023-10-11,0.0,1,1.0
0557b1363a5092b5811f,2023-10-12,53.65,23,0.0
0557b1363a5092b5811f,2023-10-13,42.12,41,0.22
0557b1363a5092b5811f,2023-10-14,69.13,33,0.242
0557b1363a5092b5811f,2023-10-15,45.92,31,0.194
0557b1363a5092b5811f,2023-10-16,5.7,11,0.818
0557b1363a5092b5811f,2023-10-17,27.28,13,0.615
0557b1363a5092b5811f,2023-10-18,86.68,56,0.464
0557b1363a5092b5811f,2023-10-19,4.32,10,0.9
0557b1363a5092b5811f,2023-10-20,82.55,39,0.333
0557b1363a5092b5811f,2023-10-21,232.65,86,0.5
0557b1363a5092b5811f,2023-10-22,99.48,54,0.426
0557b1363a5092b5811f,2023-10-23,18.17,3,1.333
0557b1363a5092b5811f,2023-10-25,48.1,19,0.526
0557b1363a5092b5811f,2023-10-26,118.2,43,0.767
